figure_id,text,font_family,font_size_pt,minimum_8pt_pass,times_new_roman_pass
Figure S1,(a),Times New Roman,11.0,1,1
Figure S1,"perturbation scale, h",Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
Figure S1,1e-8,Times New Roman,11.0,1,1
Figure S1,1e-8,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-4,Times New Roman,11.0,1,1
Figure S1,1e-4,Times New Roman,11.0,1,1
Figure S1,1e-2,Times New Roman,11.0,1,1
Figure S1,1e-2,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+2,Times New Roman,11.0,1,1
Figure S1,1e+2,Times New Roman,11.0,1,1
Figure S1,error / gate,Times New Roman,11.0,1,1
Figure S1,1e-18,Times New Roman,11.0,1,1
Figure S1,1e-18,Times New Roman,11.0,1,1
Figure S1,1e-15,Times New Roman,11.0,1,1
Figure S1,1e-15,Times New Roman,11.0,1,1
Figure S1,1e-12,Times New Roman,11.0,1,1
Figure S1,1e-12,Times New Roman,11.0,1,1
Figure S1,1e-9,Times New Roman,11.0,1,1
Figure S1,1e-9,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-3,Times New Roman,11.0,1,1
Figure S1,1e-3,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+3,Times New Roman,11.0,1,1
Figure S1,1e+3,Times New Roman,11.0,1,1
Figure S1,1e+6,Times New Roman,11.0,1,1
Figure S1,1e+6,Times New Roman,11.0,1,1
Figure S1,1e+9,Times New Roman,11.0,1,1
Figure S1,1e+9,Times New Roman,11.0,1,1
Figure S1,M1 baseline: KPU,Times New Roman,11.0,1,1
Figure S1,(b),Times New Roman,11.0,1,1
Figure S1,"perturbation scale, h",Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
Figure S1,1e-8,Times New Roman,11.0,1,1
Figure S1,1e-8,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-4,Times New Roman,11.0,1,1
Figure S1,1e-4,Times New Roman,11.0,1,1
Figure S1,1e-2,Times New Roman,11.0,1,1
Figure S1,1e-2,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+2,Times New Roman,11.0,1,1
Figure S1,1e+2,Times New Roman,11.0,1,1
Figure S1,error / gate,Times New Roman,11.0,1,1
Figure S1,1e-18,Times New Roman,11.0,1,1
Figure S1,1e-18,Times New Roman,11.0,1,1
Figure S1,1e-15,Times New Roman,11.0,1,1
Figure S1,1e-15,Times New Roman,11.0,1,1
Figure S1,1e-12,Times New Roman,11.0,1,1
Figure S1,1e-12,Times New Roman,11.0,1,1
Figure S1,1e-9,Times New Roman,11.0,1,1
Figure S1,1e-9,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-6,Times New Roman,11.0,1,1
Figure S1,1e-3,Times New Roman,11.0,1,1
Figure S1,1e-3,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+0,Times New Roman,11.0,1,1
Figure S1,1e+3,Times New Roman,11.0,1,1
Figure S1,1e+3,Times New Roman,11.0,1,1
Figure S1,1e+6,Times New Roman,11.0,1,1
Figure S1,1e+6,Times New Roman,11.0,1,1
Figure S1,1e+9,Times New Roman,11.0,1,1
Figure S1,1e+9,Times New Roman,11.0,1,1
Figure S1,M1 baseline: KSU,Times New Roman,11.0,1,1
Figure S1,(c),Times New Roman,11.0,1,1
Figure S1,"perturbation scale, h",Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
Figure S1,1e-10,Times New Roman,11.0,1,1
