run_id,state_id,direction_id,h,norm_scaled_fd,norm_scaled_oracle,norm_scaled_jphys,absolute_error_fd_oracle_l2,relative_error_fd_oracle_l2,absolute_error_fd_jphys_l2,relative_error_fd_jphys_l2,absolute_error_fd_oracle_inf,cosine_fd_oracle,cosine_fd_jphys,branch_id_plus,branch_id_minus,finite,h_pass
run2,FINAL_CLIP_LOW,M1,1.00000000000000005E-04,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,3.00000000000000008E-05,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,1.00000000000000008E-05,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,3.00000000000000008E-06,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,9.99999999999999955E-07,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,2.99999999999999986E-07,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M1,9.99999999999999955E-08,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run2,FINAL_CLIP_LOW,M2,1.00000000000000002E-02,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,3.00000000000000006E-03,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,1.00000000000000002E-03,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,2.99999999999999974E-04,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,1.00000000000000005E-04,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,3.00000000000000008E-05,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,1.00000000000000008E-05,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,3.00000000000000008E-06,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,9.99999999999999955E-07,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,2.99999999999999986E-07,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M2,9.99999999999999955E-08,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,1.00000000000000002E-02,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,1.53066642848993557E-15,9.32716635909342756E-16,1.36862067155976341E-15,8.33973519542439847E-16,7.35976763473894513E-16,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,3.00000000000000006E-03,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.12367487808708721E-15,1.29406829024707760E-15,2.02737471140607395E-15,1.23538746610903490E-15,1.39823455548235276E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,1.00000000000000002E-03,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.19701793712074953E-15,1.33876012513409813E-15,2.10554056227176301E-15,1.28301808510311718E-15,1.45645960027661336E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,2.99999999999999974E-04,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20547056607999063E-15,1.34391076246481369E-15,2.11452463644949390E-15,1.28849256033027702E-15,1.46308339792414199E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,1.00000000000000005E-04,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20621392584623840E-15,1.34436373118976903E-15,2.11531461214328618E-15,1.28897393462440774E-15,1.46366276846006393E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,3.00000000000000008E-05,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20630199535628155E-15,1.34441739663614242E-15,2.11540790212778128E-15,1.28903078118410410E-15,1.46374069549121133E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,1.00000000000000008E-05,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20631904832663364E-15,1.34442778791986238E-15,2.11542628112608634E-15,1.28904198048733004E-15,1.46373391922763330E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,3.00000000000000008E-06,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20623961442316341E-15,1.34437938460883196E-15,2.11534249492472701E-15,1.28899092508922835E-15,1.46370342604153214E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,9.99999999999999955E-07,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20622231258834824E-15,1.34436884167873072E-15,2.11531753591941174E-15,1.28897571623703160E-15,1.46364243966932983E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,2.99999999999999986E-07,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20606643416889739E-15,1.34427385664979505E-15,2.11515869092316810E-15,1.28887892351474427E-15,1.46312066737382118E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run2,FINAL_CLIP_LOW,M3,9.99999999999999955E-08,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.20915868663906327E-15,1.34615813088987288E-15,2.11845132350478525E-15,1.29088530003653236E-15,1.46661383124829792E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
